spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
3799239,2018_BH7,2018 BH7,JPL 4,0,123.0,2461000.5,0.4806,2.467,1.282,5.81,2.88,2460989.17,22.8
3799261,2018_BJ7,2018 BJ7,JPL 7,0,11.9,2461000.5,0.6332,2.638,0.968,2.75,286.07,2461321.96,24.1
3799260,2018_BK7,2018 BK7,JPL 5,0,9.98,2461000.5,0.4367,1.661,0.936,5.58,204.1,2461339.1,23.4
3799654,2018_BE11,2018 BE11,JPL 3,0,25.9,2461000.5,0.3012,1.499,1.048,3.65,105.86,2460803.38,25.58
3799655,2018_BF11,2018 BF11,JPL 2,0,12.0,2458135.5,0.4271,1.748,1.002,1.89,9.77,2458112.58,26.5
3799656,2018_BG11,2018 BG11,JPL 2,0,8.59,2458135.5,0.2891,1.41,1.002,4.48,14.9,2458110.19,27.35
3799660,2018_BL11,2018 BL11,JPL 3,0,0.516,2461000.5,0.4953,1.676,0.846,2.07,237.41,2461270.46,28.2
54452961,2018_BE92,2018 BE92,JPL 1,0,111.0,2458142.5,0.3612,1.971,1.259,4.64,31.47,2458054.17,22.55
3798989,2018_CA,2018 CA,JPL 14,0,19.0,2461000.5,0.3865,1.636,1.004,9.69,249.26,2461235.58,23.5
3798991,2018_CB,2018 CB,JPL 36,0,0.187,2461000.5,0.32,1.409,0.958,5.29,221.17,2461236.08,25.9
3798992,2018_CC,2018 CC,JPL 6,0,0.106,2461000.5,0.3489,1.284,0.836,8.46,93.58,2460862.38,26.6
3798998,2018_CH,2018 CH,JPL 5,0,3.69,2461000.5,0.4011,0.8176,0.49,1.56,304.46,2461042.16,26.4
3798997,2018_CJ,2018 CJ,JPL 8,0,7.58,2461000.5,0.5773,1.848,0.781,2.91,14.15,2460964.43,23.64
3798999,2018_CK,2018 CK,JPL 8,0,0.56,2461000.5,0.5775,1.83,0.773,3.41,71.84,2460820.06,26.5
3799001,2018_CL,2018 CL,JPL 3,0,1.68,2461000.5,0.2412,0.8544,0.648,11.85,189.24,2461137.32,25.5
3799002,2018_CM,2018 CM,JPL 3,0,0.0723,2461000.5,0.5324,2.005,0.937,1.5,258.27,2461293.43,27.8
3799000,2018_CN,2018 CN,JPL 3,0,0.873,2461000.5,0.6604,1.826,0.62,3.55,37.69,2460906.16,26.4
3799243,2018_CT,2018 CT,JPL 2,0,1.42,2461000.5,0.2581,1.267,0.94,33.93,191.3,2461244.72,25.8
3799244,2018_CV,2018 CV,JPL 3,0,44.4,2458154.5,0.1891,1.286,1.043,30.03,324.47,2458207.07,24.3
3799242,2018_CW,2018 CW,JPL 6,0,31.0,2461000.5,0.138,0.938,0.809,29.31,29.15,2460973.64,21.39
